Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	1.11813411e-028	1.11813411e-028	1.11813411e-028	1.11813411e-028	0	0	0	23323.5	0	0	3
5	0	0	0.0125	7.84569876e-027	3.97875608e-027	1.11813411e-028	7.84569876e-027	3.86694267e-027	0	0	23323.5	0	0	3
10	0	0	0.025	3.85307277e-026	1.549608e-026	1.11813411e-028	3.85307277e-026	1.53842665e-026	0	0	23323.5	0	0	3
15	0	0	0.0375	2.29366031e-025	6.89635676e-026	1.11813411e-028	2.29366031e-025	6.88517542e-026	0	0	23323.5	0	0	3
20	0	0	0.05	1.63938897e-024	3.83048647e-025	1.11813411e-028	1.63938897e-024	3.82936834e-025	0	0	23323.5	0	0	3
25	0	0	0.0625	3.46350701e-023	6.0917189e-024	1.11813411e-028	3.46350701e-023	6.09160708e-024	0	0	23323.5	0	0	3
30	1	0	0.075	6.15520802e-019	8.79367646e-020	1.11813411e-028	6.15520802e-019	8.79367645e-020	0	0	23323.5	0	0	3
35	1	0	0.0875	1.14459701e-015	1.4315157e-016	1.11813411e-028	1.14459701e-015	1.4315157e-016	0	0	23323.5	0	0	3
40	1	0	0.1	4.58772844e-013	5.11020063e-014	1.11813411e-028	4.58772844e-013	5.11020063e-014	0	0	23323.5	0	0	3
45	1	0	0.1125	6.73883329e-011	6.7848251e-012	1.11813411e-028	6.73883329e-011	6.7848251e-012	0	0	25502.8	0	0	3
50	1	0	0.125	4.84097997e-009	4.46257111e-010	1.11813411e-028	4.84097997e-009	4.46257111e-010	0	0	31753.9	0	0	3
55	1	0	0.1375	2.06216222e-007	1.75937542e-008	1.11813411e-028	2.06216222e-007	1.75937542e-008	0	0	38794.1	0	0	3
60	1	0	0.15	5.87150149e-006	4.67894349e-007	1.11813411e-028	5.87150149e-006	4.67894349e-007	0	0	46822.5	0	0	3
65	1	0	0.1625	0.000118140216	8.87306016e-006	1.11813411e-028	0.000118140216	8.87306016e-006	0	0	53788.4	0	0	3
70	2	0	0.175	0.00176315063	0.000125824898	1.11813411e-028	0.00176315063	0.000125824898	0	0	59607.9	0	0	3
75	2	0	0.1875	0.0200604197	0.00137173707	1.11813411e-028	0.0200604197	0.00137173707	0	0	65953.6	0	0	3
80	2	0	0.2	0.178046737	0.0117643841	1.11813411e-028	0.178046737	0.0117643841	0	0	72743.5	0	0	3
85	2	0	0.2125	1.26129584	0.0811827982	1.11813411e-028	1.26129584	0.0811827982	0	0	79241.7	0	0	3
90	2	0	0.225	7.26967359	0.459524419	1.11813411e-028	7.26967359	0.459524419	0	0	85267.9	0	0	3
95	2	0	0.2375	34.344914	2.1537939	1.11813411e-028	34.344914	2.1537939	0	0	90725.5	0	0	3
100	2	0	0.25	139.381588	8.68845075	1.11813411e-028	139.381588	8.68845075	0	0	95849.5	0	0	3
105	2	0	0.2625	461.877385	29.2879477	1.11813411e-028	461.877385	29.2879477	0	0	100592	0	0	3
110	3	0	0.275	1265.03957	83.0162791	1.11813411e-028	1265.03957	83.0162791	0	0	105320	0	0	3
115	3	0	0.2875	2920.05952	201.226414	1.11813411e-028	2920.05952	201.226414	0	0	110808	0	0	3
120	3	0	0.3	5721.52998	422.038557	1.11813411e-028	5721.52998	422.038557	0	0	116409	0	0	3
125	3	0	0.3125	9484.53406	770.596076	1.11813411e-028	9484.53406	770.596076	0	0	122529	0	0	3
130	3	0	0.325	13592.7473	1245.49057	1.11813411e-028	13592.7473	1245.49057	0	0	129131	0	0	3
135	3	0	0.3375	17484.9671	1825.47187	1.11813411e-028	17484.9671	1825.47187	0	0	135614	0	0	3
140	3	0	0.35	20843.1882	2481.25519	1.11813411e-028	20843.1882	2481.25519	0	0	141662	0	0	3
145	3	0	0.3625	23569.5395	3184.198	1.11813411e-028	23569.5395	3184.198	0	0	147560	0	0	3
