Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	101325	101325	101325	101325	0	0	0	21959.9	0	0	3
5	0	0	0.0125	101325	101325	101325	101325	1.45519152e-011	0	0	56306.6	0	0	3
10	0	0	0.025	101325	101325	101325	101325	1.45519152e-011	0	0	79277.4	0	0	3
15	0	0	0.0375	101325	101325	101325	101325	2.91038305e-011	0	0	93681.3	0	0	3
20	0	0	0.05	101325	101325	101325	101325	7.27595761e-011	0	0	109594	0	0	3
25	0	0	0.0625	101325	101325	101325	101325	1.30967237e-010	0	0	127454	0	0	3
30	1	0	0.075	104989.978	101848.568	101325	104989.978	523.568284	0	0	139108	0	0	3
35	1	0	0.0875	101635.005	101821.873	101325	104989.978	523.568284	0	0	146600	0	0	3
40	1	0	0.1	101329.89	101767.208	101325	104989.978	523.568284	0	0	151994	0	0	3
45	1	0	0.1125	101325	101722.987	101325	104989.978	523.568284	0	0	158602	0	0	3
50	1	0	0.125	101596.359	101711.476	101325	104989.978	523.568284	0	0	164470	0	0	3
55	1	0	0.1375	101363.976	101682.517	101325	104989.978	523.568284	0	0	175091	0	0	3
60	1	0	0.15	101363.976	101658.014	101325	104989.978	523.568284	0	0	184330	0	0	3
65	1	0	0.1625	101325	101634.227	101325	104989.978	523.568284	0	0	185548	0	0	3
70	2	0	0.175	101325	101613.612	101325	104989.978	523.568284	0	0	190818	0	0	3
75	2	0	0.1875	101325	101595.574	101325	104989.978	523.568284	0	0	198702	0	0	3
80	2	0	0.2	101325	101579.658	101325	104989.978	523.568284	0	0	207125	0	0	3
85	2	0	0.2125	101325	101565.51	101325	104989.978	523.568284	0	0	216056	0	0	3
90	2	0	0.225	101325	101552.852	101325	104989.978	523.568284	0	0	225467	0	0	3
95	2	0	0.2375	101325	101541.459	101325	104989.978	523.568284	0	0	235060	0	0	3
100	2	0	0.25	101325	101531.152	101325	104989.978	523.568284	0	0	244623	0	0	3
105	2	0	0.2625	101325	101521.781	101325	104989.978	523.568284	0	0	253906	0	0	3
110	3	0	0.275	101325	101513.225	101325	104989.978	523.568284	0	0	262751	0	0	3
115	3	0	0.2875	101325	101505.383	101325	104989.978	523.568284	0	0	271845	0	0	3
120	3	0	0.3	101325	101498.167	101325	104989.978	523.568284	0	0	282013	0	0	3
125	3	0	0.3125	101325	101491.507	101325	104989.978	523.568284	0	0	291389	0	0	3
130	3	0	0.325	101325	101485.34	101325	104989.978	523.568284	0	0	300080	0	0	3
135	3	0	0.3375	101325	101479.614	101325	104989.978	523.568284	0	0	308864	0	0	3
140	3	0	0.35	101325	101474.282	101325	104989.978	523.568284	0	0	317095	0	0	3
145	3	0	0.3625	101325	101469.306	101325	104989.978	523.568284	0	0	324769	0	0	3
150	4	0	0.375	101325	101464.651	101325	104989.978	523.568284	0	0	332261	0	0	3
155	4	0	0.3875	101325	101460.287	101325	104989.978	523.568284	0	0	339477	0	0	3
160	4	0	0.4	101325	101456.187	101325	104989.978	523.568284	0	0	350340	0	0	3
165	4	0	0.4125	101325	101452.329	101325	104989.978	523.568284	0	0	363316	0	0	3
170	4	0	0.425	101325	101448.691	101325	104989.978	523.568284	0	0	376551	0	0	3
175	4	0	0.4375	100483.649	101421.884	100483.649	104989.978	523.568284	0	0	390634	0	0	3
180	4	0	0.45	100120.76	101386.719	100120.76	104989.978	523.568284	0	0	404582	0	0	3
185	4	0	0.4625	99776.2952	101344.339	99776.2952	104989.978	523.568284	0	0	418420	0	0	3
190	5	0	0.475	99482.8219	101296.608	99482.8219	104989.978	551.96034	0	0	430587	0	0	3
195	5	0	0.4875	99204.8436	101244.314	99204.8436	104989.978	604.254449	0	0	441526	0	0	3
200	5	0	0.5	98933.5077	101187.953	98933.5077	104989.978	660.615575	0	0	451908	0	0	3
205	5	0	0.5125	98676.2098	101123.348	98676.2098	104989.978	725.220214	0	0	463582	0	0	3
210	5	0	0.525	98421.582	101045.721	98421.582	104989.978	802.846962	0	0	474399	0	0	3
215	5	0	0.5375	96933.6278	100935.937	96933.6278	104989.978	912.631267	0	0	484057	0	0	3
220	5	0	0.55	96765.4155	100821.947	96765.4155	104989.978	1026.62088	0	0	492296	0	0	3
225	5	0	0.5625	96662.3839	100705.382	96662.3839	104989.978	1143.18628	0	0	499436	0	0	3
230	6	0	0.575	96678.7962	100607.173	96662.3839	104989.978	1241.39569	0	0	505643	0	0	3
235	6	0	0.5875	96781.2934	100376.26	96662.3839	101596.359	1390.94846	0	0	512895	0	0	3
240	6	0	0.6	96930.3375	100266.271	96662.3839	101596.359	1456.71646	0	0	519809	0	0	3
245	6	0	0.6125	97046.4207	100159.306	96662.3839	101596.359	1552.16925	0	0	525768	0	0	3
250	6	0	0.625	97285.2618	100051.529	96662.3839	101363.976	1630.98839	0	0	530963	0	0	3
255	6	0	0.6375	97833.8508	99997.4392	96662.3839	101363.976	1685.0781	0	0	535347	0	0	3
260	6	0	0.65	98553.0983	99893.0039	96662.3839	101325	1741.2236	0	0	540345	0	0	3
265	6	0	0.6625	98992.9227	99834.7019	96662.3839	101325	1778.91036	0	0	544971	0	0	3
270	6	0	0.675	99425.5507	99787.2157	96662.3839	101325	1808.35833	0	0	549093	0	0	3
275	7	0	0.6875	99834.6767	99749.9576	96662.3839	101325	1829.70029	0	0	552540	0	0	3
280	7	0	0.7	100820.739	99776.0742	96662.3839	101325	1829.70029	0	0	555445	0	0	3
285	7	0	0.7125	101376.93	99738.6493	96662.3839	101376.93	1814.20246	0	0	562113	0	0	3
290	7	0	0.725	102237.922	99761.4724	96662.3839	102237.922	1802.80987	0	0	568494	0	0	3
295	7	0	0.7375	103050.182	99804.602	96662.3839	103050.182	1792.50229	0	0	573966	0	0	3
300	7	0	0.75	103602.158	99861.5309	96662.3839	103602.158	1783.13176	0	0	579929	0	0	3
305	7	0	0.7625	104288.11	99969.4962	96662.3839	104288.11	1783.13176	0	0	586001	0	0	3
310	8	0	0.775	104795.883	100022.381	96662.3839	104795.883	1766.73334	0	0	591717	0	0	3
315	8	0	0.7875	105317.124	100122.184	96662.3839	105317.124	1759.51803	0	0	597139	0	0	3
320	8	0	0.8	105162.882	100218.131	96662.3839	105317.124	1752.85775	0	0	602243	0	0	3
325	8	0	0.8125	105650.321	100326.264	96662.3839	105650.321	1746.69082	0	0	607006	0	0	3
330	8	0	0.825	106155.723	100468.446	96662.3839	106155.723	1746.69082	0	0	611480	0	0	3
335	8	0	0.8375	106647.944	100580.106	96662.3839	106647.944	1735.63288	0	0	615709	0	0	3
340	8	0	0.85	107091.218	100724.261	96662.3839	107091.218	1730.6568	0	0	619754	0	0	3
345	8	0	0.8625	107476.282	100878.043	96662.3839	107476.282	1726.00177	0	0	623649	0	0	3
350	8	0	0.875	107795.515	101039.806	96662.3839	107795.515	1721.63767	0	0	627343	0	0	3
355	9	0	0.8875	108012.794	101209.879	96662.3839	108012.794	1721.63767	0	0	630852	0	0	3
360	9	0	0.9	108154.363	101377.735	96662.3839	108154.363	1713.67961	0	0	634202	0	0	3
365	9	0	0.9125	108462.455	101556.171	96662.3839	108462.455	1817.52189	0	0	637451	0	0	3
370	9	0	0.925	108647.569	101739.235	96662.3839	108647.569	2000.58613	0	0	640585	0	0	3
