Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	293.2	293.2	293.2	293.2	0	0	0	63.5443	0	0	3
5	0	0	0.0125	293.2	293.2	293.2	293.2	5.68434189e-014	0	0	162.932	0	0	3
10	0	0	0.025	293.2	293.2	293.2	293.2	5.68434189e-014	0	0	229.402	0	0	3
15	0	0	0.0375	293.2	293.2	293.2	293.2	5.68434189e-014	0	0	271.082	0	0	3
20	0	0	0.05	293.2	293.2	293.2	293.2	5.68434189e-014	0	0	305.822	0	0	3
25	0	0	0.0625	293.2	293.2	293.2	293.2	5.68434189e-014	0	0	347.286	0	0	3
30	1	0	0.075	303.805197	294.715028	293.2	303.805197	1.51502809	0	0	381.15	0	0	3
35	1	0	0.0875	294.097049	294.637781	293.2	303.805197	1.51502809	0	0	406.92	0	0	3
40	1	0	0.1	293.21415	294.479599	293.2	303.805197	1.51502809	0	0	432.249	0	0	3
45	1	0	0.1125	293.199997	294.351639	293.199997	303.805197	1.51502809	0	0	454.038	0	0	3
50	1	0	0.125	293.98519	294.318326	293.199997	303.805197	1.51502809	0	0	473.599	0	0	3
55	1	0	0.1375	293.312598	294.234515	293.199997	303.805197	1.51502809	0	0	492.278	0	0	3
60	1	0	0.15	293.311824	294.163539	293.199997	303.805197	1.51502809	0	0	511.28	0	0	3
65	1	0	0.1625	293.195783	294.094413	293.195783	303.805197	1.51502809	0	0	531.061	0	0	3
70	2	0	0.175	293.184022	294.033721	293.184022	303.805197	1.51502809	0	0	552.231	0	0	3
75	2	0	0.1875	293.147169	293.978311	293.147169	303.805197	1.51502809	0	0	575.193	0	0	3
80	2	0	0.2	293.045901	293.923464	293.045901	303.805197	1.51502809	0	0	599.949	0	0	3
85	2	0	0.2125	292.798923	293.860989	292.798923	303.805197	1.51502809	0	0	626.653	0	0	3
90	2	0	0.225	292.260001	293.776727	292.260001	303.805197	1.51502809	0	0	655.583	0	0	3
95	2	0	0.2375	291.209243	293.648352	291.209243	303.805197	1.51502809	0	0	686.227	0	0	3
100	2	0	0.25	289.020818	293.427994	289.020818	303.805197	1.51502809	0	0	720.291	0	0	3
105	2	0	0.2625	285.395116	293.062863	285.395116	303.805197	1.65216535	0	0	755.186	0	0	3
110	3	0	0.275	280.674088	292.52422	280.674088	303.805197	2.19080773	0	0	787.117	0	0	3
115	3	0	0.2875	275.260693	291.804907	275.260693	303.805197	2.91012138	0	0	815.332	0	0	3
120	3	0	0.3	270.29539	290.944526	270.29539	303.805197	3.77050203	0	0	840.592	0	0	3
125	3	0	0.3125	267.127667	290.028493	267.127667	303.805197	4.68653509	0	0	864.339	0	0	3
130	3	0	0.325	266.24303	289.14755	266.24303	303.805197	5.56747817	0	0	887.749	0	0	3
135	3	0	0.3375	267.489378	288.374044	266.24303	303.805197	6.34098431	0	0	910.302	0	0	3
140	3	0	0.35	270.466242	287.756533	266.24303	303.805197	6.95849472	0	0	934.39	0	0	3
145	3	0	0.3625	274.654009	287.319783	266.24303	303.805197	7.39524553	0	0	955.384	0	0	3
150	4	0	0.375	279.688812	287.073622	266.24303	303.805197	7.64140587	0	0	973.794	0	0	3
155	4	0	0.3875	285.213563	287.015495	266.24303	303.805197	7.69953273	0	0	999.209	0	0	3
160	4	0	0.4	290.726751	287.127958	266.24303	303.805197	7.69953273	0	0	1026.12	0	0	3
165	4	0	0.4125	295.934589	287.386976	266.24303	303.805197	7.69953273	0	0	1053.19	0	0	3
170	4	0	0.425	300.634325	287.765472	266.24303	303.805197	7.69953273	0	0	1079.19	0	0	3
175	4	0	0.4375	302.106134	288.163824	266.24303	303.805197	7.69953273	0	0	1103.57	0	0	3
180	4	0	0.45	304.266512	288.599031	266.24303	304.266512	7.69953273	0	0	1126.65	0	0	3
185	4	0	0.4625	305.801931	289.051739	266.24303	305.801931	7.69953273	0	0	1150.15	0	0	3
190	5	0	0.475	306.838521	289.507811	266.24303	306.838521	7.69953273	0	0	1174.35	0	0	3
195	5	0	0.4875	307.297572	289.952555	266.24303	307.297572	7.69953273	0	0	1197.7	0	0	3
200	5	0	0.5	307.339127	290.376617	266.24303	307.339127	7.69953273	0	0	1221.49	0	0	3
205	5	0	0.5125	307.092284	290.715454	266.24303	307.339127	7.69953273	0	0	1243.68	0	0	3
210	5	0	0.525	306.496129	290.985743	266.24303	307.339127	7.69953273	0	0	1264.73	0	0	3
215	5	0	0.5375	301.490255	291.193	266.24303	307.339127	7.69953273	0	0	1287.58	0	0	3
220	5	0	0.55	300.465039	291.374626	266.24303	307.339127	7.69953273	0	0	1308.5	0	0	3
225	5	0	0.5625	299.21897	291.5251	266.24303	307.339127	7.69953273	0	0	1328	0	0	3
