Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	9.02057248e-015	9.02057248e-015	9.02057248e-015	9.02057248e-015	0	0	0	200.147	0	0	3
5	0	0	0.0125	1.21982822e-013	6.55016973e-014	9.02057248e-015	1.21982822e-013	5.64811248e-014	0	0	200.147	0	0	3
10	0	0	0.025	2.63154441e-013	1.31385945e-013	9.02057248e-015	2.63154441e-013	1.22365373e-013	0	0	200.147	0	0	3
15	0	0	0.0375	5.75566495e-013	2.42431083e-013	9.02057248e-015	5.75566495e-013	2.3341051e-013	0	0	200.147	0	0	3
20	0	0	0.05	1.31088294e-012	4.56121454e-013	9.02057248e-015	1.31088294e-012	4.47100882e-013	0	0	200.147	0	0	3
25	0	0	0.0625	5.61487517e-012	1.31591374e-012	9.02057248e-015	5.61487517e-012	1.30689317e-012	0	0	200.147	0	0	3
30	1	0	0.075	5.42511178e-010	7.86295229e-011	9.02057248e-015	5.42511178e-010	7.86205023e-011	0	0	200.147	0	0	3
35	1	0	0.0875	2.41935458e-008	3.09299405e-009	9.02057248e-015	2.41935458e-008	3.09298503e-009	0	0	200.147	0	0	3
40	1	0	0.1	5.02443962e-007	5.85764349e-008	9.02057248e-015	5.02443962e-007	5.85764259e-008	0	0	200.147	0	0	3
45	1	0	0.1125	6.31030103e-006	6.83748895e-007	9.02057248e-015	6.31030103e-006	6.83748886e-007	0	0	200.147	0	0	3
50	1	0	0.125	5.53638017e-005	5.65466278e-006	9.02057248e-015	5.53638017e-005	5.65466278e-006	0	0	217.197	0	0	3
55	1	0	0.1375	0.000373282357	3.6290304e-005	9.02057248e-015	0.000373282357	3.6290304e-005	0	0	239.534	0	0	3
60	1	0	0.15	0.00205422482	0.000191516036	9.02057248e-015	0.00205422482	0.000191516036	0	0	262.072	0	0	3
65	1	0	0.1625	0.0095156413	0.000857524983	9.02057248e-015	0.0095156413	0.000857524983	0	0	278.205	0	0	3
70	2	0	0.175	0.038002661	0.00333386739	9.02057248e-015	0.038002661	0.00333386739	0	0	298.381	0	0	3
75	2	0	0.1875	0.132758331	0.0114228964	9.02057248e-015	0.132758331	0.0114228964	0	0	315.013	0	0	3
80	2	0	0.2	0.41051256	0.034898759	9.02057248e-015	0.41051256	0.034898759	0	0	329.283	0	0	3
85	2	0	0.2125	1.13627748	0.0960864658	9.02057248e-015	1.13627748	0.0960864658	0	0	341.613	0	0	3
90	2	0	0.225	2.84215973	0.240616638	9.02057248e-015	2.84215973	0.240616638	0	0	356.195	0	0	3
95	2	0	0.2375	6.45146704	0.551159158	9.02057248e-015	6.45146704	0.551159158	0	0	369.878	0	0	3
100	2	0	0.25	13.4965719	1.16760739	9.02057248e-015	13.4965719	1.16760739	0	0	382.243	0	0	3
105	2	0	0.2625	25.6336035	2.27969812	9.02057248e-015	25.6336035	2.27969812	0	0	392.958	0	0	3
110	3	0	0.275	44.3184297	4.10746906	9.02057248e-015	44.3184297	4.10746906	0	0	403.734	0	0	3
115	3	0	0.2875	69.9498546	6.85090178	9.02057248e-015	69.9498546	6.85090178	0	0	413.594	0	0	3
120	3	0	0.3	100.489317	10.5964384	9.02057248e-015	100.489317	10.5964384	0	0	423.559	0	0	3
125	3	0	0.3125	131.288104	15.2384255	9.02057248e-015	131.288104	15.2384255	0	0	435.659	0	0	3
130	3	0	0.325	158.741101	20.5533394	9.02057248e-015	158.741101	20.5533394	0	0	446.79	0	0	3
135	3	0	0.3375	181.737809	26.3099276	9.02057248e-015	181.737809	26.3099276	0	0	456.707	0	0	3
140	3	0	0.35	200.267404	32.3084613	9.02057248e-015	200.267404	32.3084613	0	0	465.842	0	0	3
145	3	0	0.3625	214.92617	38.3957183	9.02057248e-015	214.92617	38.3957183	0	0	474.469	0	0	3
150	4	0	0.375	226.145582	44.4521655	9.02057248e-015	226.145582	44.4521655	0	0	482.609	0	0	3
155	4	0	0.3875	234.409243	50.3883242	9.02057248e-015	234.409243	50.3883242	0	0	490.432	0	0	3
160	4	0	0.4	240.49779	56.149217	9.02057248e-015	240.49779	56.149217	0	0	497.963	0	0	3
165	4	0	0.4125	244.895089	61.7005662	9.02057248e-015	244.895089	61.7005662	0	0	508.928	0	0	3
170	4	0	0.425	247.97689	67.0227469	9.02057248e-015	247.97689	67.0227469	0	0	521.336	0	0	3
175	4	0	0.4375	249.916521	72.1031295	9.02057248e-015	249.916521	72.1031295	0	0	529.464	0	0	3
180	4	0	0.45	250.846488	76.9340311	9.02057248e-015	250.846488	76.9340311	0	0	535.457	0	0	3
185	4	0	0.4625	250.993608	81.5145463	9.02057248e-015	250.993608	81.5145463	0	0	540.566	0	0	3
190	5	0	0.475	250.649222	85.8513328	9.02057248e-015	250.993608	85.8513328	0	0	550.451	0	0	3
195	5	0	0.4875	249.406249	89.9402057	9.02057248e-015	250.993608	89.9402057	0	0	556.833	0	0	3
200	5	0	0.5	247.299843	93.7782457	9.02057248e-015	250.993608	93.7782457	0	0	561.052	0	0	3
205	5	0	0.5125	244.372995	99.7385626	1.21982822e-013	250.993608	99.7385626	0	0	568.388	0	0	3
210	5	0	0.525	240.822084	108.252579	5.75566495e-013	250.993608	108.252579	0	0	574.03	0	0	3
215	5	0	0.5375	236.817604	114.173019	1.31088294e-012	250.993608	114.173019	0	0	577.865	0	0	3
220	5	0	0.55	232.244414	119.979129	5.61487517e-012	250.993608	119.979129	0	0	581.787	0	0	3
225	5	0	0.5625	227.137803	125.657574	5.42511178e-010	250.993608	125.657574	0	0	584.309	0	0	3
230	6	0	0.575	221.86602	128.004122	5.42511178e-010	250.993608	128.004122	0	0	590.198	0	0	3
235	6	0	0.5875	216.544427	136.617836	5.02443962e-007	250.993608	136.617835	0	0	597.203	0	0	3
240	6	0	0.6	211.136785	141.896255	6.31030103e-006	250.993608	141.896254	0	0	600.831	0	0	3
245	6	0	0.6125	205.444831	147.032376	5.53638017e-005	250.993608	147.03237	0	0	602.984	0	0	3
250	6	0	0.625	199.448409	152.018585	0.000373282357	250.993608	152.018548	0	0	609.533	0	0	3
255	6	0	0.6375	194.672191	153.058916	0.000373282357	250.993608	153.05888	0	0	614.672	0	0	3
260	6	0	0.65	191.591692	161.675121	0.0095156413	250.993608	161.674263	0	0	620.958	0	0	3
265	6	0	0.6625	189.253847	166.406229	0.038002661	250.993608	166.402895	0	0	623.995	0	0	3
270	6	0	0.675	187.037872	171.081226	0.132758331	250.993608	171.069803	0	0	626.879	0	0	3
275	7	0	0.6875	184.868676	175.699624	0.41051256	250.993608	175.664725	0	0	632.348	0	0	3
280	7	0	0.7	183.136922	175.881021	0.41051256	250.993608	175.846123	0	0	635.389	0	0	3
285	7	0	0.7125	182.508513	184.80209	2.84215973	250.993608	184.561473	0	0	639.139	0	0	3
290	7	0	0.725	182.313588	189.288876	6.45146704	250.993608	188.737717	0	0	638.523	0	0	3
295	7	0	0.7375	182.257068	193.684016	13.4965719	250.993608	192.516408	0	0	637.817	0	0	3
300	7	0	0.75	182.119343	197.899585	25.6336035	250.993608	195.619887	0	0	636.34	0	0	3
305	7	0	0.7625	181.799473	197.506899	25.6336035	250.993608	195.619887	0	0	639.127	0	0	3
310	8	0	0.775	181.331838	205.229067	69.9498546	250.993608	181.043753	0	0	642.576	0	0	3
315	8	0	0.7875	180.752811	207.999141	100.489317	250.993608	150.504291	0	0	645.886	0	0	3
320	8	0	0.8	180.242926	209.992981	131.288104	250.993608	119.705503	0	0	647.528	0	0	3
325	8	0	0.8125	179.780229	211.205284	158.741101	250.993608	92.2525069	0	0	647.822	0	0	3
330	8	0	0.825	179.462332	210.431066	158.741101	250.993608	92.2525069	0	0	648.1	0	0	3
335	8	0	0.8375	179.211938	211.660168	179.211938	250.993608	71.7816696	0	0	648.099	0	0	3
340	8	0	0.85	178.987134	211.128162	178.987134	250.993608	72.0064731	0	0	647.755	0	0	3
345	8	0	0.8625	178.854181	210.226362	178.854181	250.993608	72.1394265	0	0	647.357	0	0	3
350	8	0	0.875	178.89543	209.045108	178.854181	250.993608	72.1394265	0	0	646.934	0	0	3
355	9	0	0.8875	179.096504	208.314654	178.854181	250.993608	72.1394265	0	0	646.301	0	0	3
360	9	0	0.9	179.528413	206.138055	178.854181	250.993608	72.1394265	0	0	645.434	0	0	3
365	9	0	0.9125	180.156124	204.519581	178.854181	250.993608	72.1394265	0	0	644.43	0	0	3
370	9	0	0.925	180.976597	202.844574	178.854181	250.993608	72.1394265	0	0	643.371	0	0	3
375	9	0	0.9375	182.034465	201.147522	178.854181	250.993608	72.1394265	0	0	642.307	0	0	3
380	9	0	0.95	183.28865	200.71194	178.854181	250.993608	72.1394265	0	0	641.279	0	0	3
385	9	0	0.9625	184.664356	197.800345	178.854181	250.649222	71.7950412	0	0	640.295	0	0	3
390	9	0	0.975	186.10469	196.186732	178.854181	249.406249	70.5520676	0	0	639.363	0	0	3
395	10	0	0.9875	187.592458	194.641387	178.854181	247.299843	68.4456625	0	0	638.459	0	0	3
400	10	0	1	189.151494	193.187678	178.854181	244.372995	65.5188144	37.6490411	57.4	637.66	0	0	3
405	10	0	1.0125	190.65833	191.844812	178.854181	240.822084	61.9679034	37.6490411	60.7	636.938	0	0	3
410	10	0	1.025	192.093803	191.850885	178.854181	240.822084	61.9679034	37.6490411	60.7	636.28	0	0	3
415	10	0	1.0375	193.497123	189.543593	178.854181	232.244414	53.3902331	37.6490411	70.5	635.676	0	0	3
420	10	0	1.05	194.829454	188.608219	178.854181	227.137803	48.2836224	37.6490411	77.9	635.106	0	0	3
425	10	0	1.0625	196.081168	187.831803	178.854181	221.86602	43.0118389	37.6490411	87.5	634.601	0	0	3
430	10	0	1.075	197.301628	187.217693	178.854181	216.544427	37.6902463	37.6490411	99.8	634.167	0	0	3
435	11	0	1.0875	198.490657	187.492643	178.854181	216.544427	37.6902463	37.6490411	99.8	633.773	0	0	3
440	11	0	1.1	199.752173	186.481733	178.854181	205.444831	26.5906496	37.6490411	100	633.354	0	0	3
445	11	0	1.1125	200.975578	186.370002	178.854181	200.975578	22.1213971	37.6490411	100	632.955	0	0	3
450	11	0	1.125	202.143493	186.437379	178.854181	202.143493	23.2893122	37.6490411	100	632.629	0	0	3
455	11	0	1.1375	203.3288	186.653794	178.854181	203.3288	24.4746194	37.6490411	100	632.164	0	0	3
460	11	0	1.15	204.604144	187.091608	178.854181	204.604144	25.7499628	37.6490411	100	631.644	0	0	3
465	11	0	1.1625	205.95775	187.396703	178.854181	205.95775	27.1035686	37.6490411	100	631.093	0	0	3
470	11	0	1.175	207.403516	187.905844	178.854181	207.403516	28.5493345	37.6490411	100	630.592	0	0	3
475	11	0	1.1875	208.981301	188.50866	178.854181	208.981301	30.1271199	37.6490411	100	630.131	0	0	3
480	12	0	1.2	210.593187	189.195067	178.854181	210.593187	26.8580782	37.6490411	100	629.757	0	0	3
485	12	0	1.2125	212.225477	189.756784	178.854181	212.225477	26.8580782	37.6490411	100	629.299	0	0	3
490	12	0	1.225	213.940711	190.728669	178.854181	213.940711	25.2901663	37.6490411	100	628.729	0	0	3
495	12	0	1.2375	215.724102	191.565345	178.854181	215.724102	25.2901663	37.6490411	100	628.668	0	0	3
500	12	0	1.25	217.51858	192.450325	178.854181	217.51858	25.2901663	37.6490411	100	628.843	0	0	3
505	12	0	1.2625	219.230049	193.38609	178.854181	219.230049	25.2901663	37.6490411	100	628.892	0	0	3
510	12	0	1.275	220.867833	194.056376	178.854181	220.867833	25.2901663	37.6490411	100	628.934	0	0	3
515	12	0	1.2875	222.528909	195.418892	178.854181	222.528909	25.2901663	37.6490411	100	628.972	0	0	3
520	13	0	1.3	224.28334	196.519903	178.854181	224.28334	25.2901663	37.6490411	100	629.347	0	0	3
525	13	0	1.3125	226.05478	197.676766	178.854181	226.05478	25.2901663	37.6490411	100	629.813	0	0	3
530	13	0	1.325	227.765791	198.884353	178.854181	227.765791	25.2901663	37.6490411	100	630.17	0	0	3
535	13	0	1.3375	229.387058	199.628321	178.854181	229.387058	25.2901663	37.6490411	100	630.338	0	0	3
540	13	0	1.35	230.97593	201.438451	178.854181	230.97593	23.8563598	37.6490411	100	630.35	0	0	3
545	13	0	1.3625	232.582594	202.781661	178.89543	232.582594	22.675106	37.6490411	100	630.236	0	0	3
550	13	0	1.375	234.202459	204.164337	179.096504	234.202459	21.9446523	37.6490411	100	630.067	0	0	3
555	13	0	1.3875	235.83673	205.582842	179.528413	235.83673	19.7680531	37.6490411	100	630.055	0	0	3
560	13	0	1.4	237.433442	206.359686	179.528413	237.433442	19.9896843	37.6490411	100	630.247	0	0	3
565	14	0	1.4125	239.009763	208.501809	180.976597	239.009763	22.1318071	37.6490411	100	630.341	0	0	3
570	14	0	1.425	240.692323	209.994702	182.034465	240.692323	23.6247003	37.6490411	100	630.27	0	0	3
575	14	0	1.4375	242.441582	211.50488	183.28865	242.441582	25.1348782	37.6490411	100	630.147	0	0	3
580	14	0	1.45	244.268801	213.029384	184.664356	244.268801	26.6593819	37.6490411	100	629.994	0	0	3
585	14	0	1.4625	246.056152	213.834915	184.664356	246.056152	27.4649129	37.6490411	100	631.799	0	0	3
590	14	0	1.475	247.731634	216.104852	187.592458	247.731634	29.7348504	37.6490411	100	634.879	0	0	3
595	14	0	1.4875	249.493766	217.652385	189.151494	249.493766	31.2823831	37.6490411	100	637.555	0	0	3
600	14	0	1.5	251.348614	219.207313	190.65833	251.348614	32.8373111	37.6490411	100	639.908	0	0	3
605	15	0	1.5125	253.126119	220.769008	192.093803	253.126119	34.3990058	37.6490411	100	641.97	0	0	3
610	15	0	1.525	254.870353	222.338422	193.497123	254.870353	35.9684196	37.6490411	100	643.745	0	0	3
615	15	0	1.5375	256.598583	223.915958	194.829454	256.598583	37.5459561	37.6490411	100	645.231	0	0	3
620	15	0	1.55	258.253022	225.501547	196.081168	258.253022	39.1315453	37.6490411	96.2	646.497	0	0	3
625	15	0	1.5625	259.872927	227.096341	197.301628	259.872927	40.7263392	37.6490411	92.4	647.587	0	0	3
630	15	0	1.575	261.445217	228.699931	198.490657	261.445217	42.329929	37.6490411	88.9	648.54	0	0	3
635	15	0	1.5875	263.008357	230.312873	199.752173	263.008357	43.9428715	37.6490411	85.6	648.738	0	0	3
640	15	0	1.6	264.697233	231.9365	200.975578	264.697233	45.5664979	37.6490411	82.6	645.181	0	0	3
645	16	0	1.6125	266.586315	233.576768	202.143493	266.586315	47.1393893	37.6490411	79.8	639.034	0	0	3
650	16	0	1.625	268.674592	235.240046	203.3288	268.674592	48.5862515	37.6490411	77.4	635.1	0	0	3
655	16	0	1.6375	270.997787	236.931771	204.604144	270.997787	49.8401628	37.6490411	75.5	635.742	0	0	3
