Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	-1.66602559e-043	-1.66602559e-043	-1.66602559e-043	-1.66602559e-043	0	0	0	0	0	0	3
5	0	0	0.0125	2.86207867e-017	1.43103933e-017	-1.66602559e-043	2.86207867e-017	1.43103933e-017	0	0	0	0	0	3
10	0	0	0.025	2.78838845e-017	1.88348904e-017	-1.66602559e-043	2.86207867e-017	1.88348904e-017	0	0	0	0	0	3
15	0	0	0.0375	2.48401813e-017	2.03362131e-017	-1.66602559e-043	2.86207867e-017	2.03362131e-017	0	0	0	0	0	3
20	0	0	0.05	2.29165185e-017	2.08522742e-017	-1.66602559e-043	2.86207867e-017	2.08522742e-017	0	0	0	0	0	3
25	0	0	0.0625	-1.22964892e-015	-1.87564591e-016	-1.22964892e-015	2.86207867e-017	2.08416865e-016	0	0	0	0	0	3
30	1	0	0.075	-4.43840357e-013	-6.35665349e-014	-4.43840357e-013	2.86207867e-017	6.35873872e-014	0	0	0	0	0	3
35	1	0	0.0875	-2.39510711e-011	-3.0495046e-012	-2.39510711e-011	2.86207867e-017	3.04952546e-012	0	0	0	0	0	3
40	1	0	0.1	-5.53508472e-010	-6.42116121e-011	-5.53508472e-010	2.86207867e-017	6.4211633e-011	0	0	0	0	0	3
45	1	0	0.1125	-7.45341589e-009	-8.0313204e-010	-7.45341589e-009	2.86207867e-017	8.0313206e-010	0	0	0	0	0	3
50	1	0	0.125	-6.85544024e-008	-6.96233844e-009	-6.85544024e-008	2.86207867e-017	6.96233846e-009	0	0	0	0	0	3
55	1	0	0.1375	-4.8434088e-007	-4.67438836e-008	-4.8434088e-007	2.86207867e-017	4.67438836e-008	0	0	0	0	0	3
60	1	0	0.15	-2.73289483e-006	-2.53370879e-007	-2.73289483e-006	2.86207867e-017	2.53370879e-007	0	0	0	0	0	3
65	1	0	0.1625	-1.29102502e-005	-1.15743369e-006	-1.29102502e-005	2.86207867e-017	1.15743369e-006	0	0	0	0	0	3
70	2	0	0.175	-5.23994619e-005	-4.5735689e-006	-5.23994619e-005	2.86207867e-017	4.5735689e-006	0	0	0	0	0	3
75	2	0	0.1875	-0.00018553159	-1.58834452e-005	-0.00018553159	2.86207867e-017	1.58834452e-005	0	0	0	0	0	3
80	2	0	0.2	-0.000580304395	-4.90846775e-005	-0.000580304395	2.86207867e-017	4.90846775e-005	0	0	0	0	0	3
85	2	0	0.2125	-0.00162231208	-0.0001364862	-0.00162231208	2.86207867e-017	0.0001364862	0	0	0	0	0	3
90	2	0	0.225	-0.0040974325	-0.000344957058	-0.0040974325	2.86207867e-017	0.000344957058	0	0	0	0	0	3
95	2	0	0.2375	-0.00939029807	-0.000797224109	-0.00939029807	2.86207867e-017	0.000797224109	0	0	0	0	0	3
100	2	0	0.25	-0.0200341993	-0.00171327055	-0.0200341993	2.86207867e-017	0.00171327055	0	0	0	0	0	3
105	2	0	0.2625	-0.0390326455	-0.00340960577	-0.0390326455	2.86207867e-017	0.00340960577	0	0	0	0	0	3
110	3	0	0.275	-0.0682898789	-0.00623048721	-0.0682898789	2.86207867e-017	0.00623048721	0	0	0	0	0	3
115	3	0	0.2875	-0.108808166	-0.0105045572	-0.108808166	2.86207867e-017	0.0105045572	0	0	0	0	0	3
120	3	0	0.3	-0.158461854	-0.016422849	-0.158461854	2.86207867e-017	0.016422849	0	0	0	0	0	3
125	3	0	0.3125	-0.209289476	-0.0238407962	-0.209289476	2.86207867e-017	0.0238407962	0	0	0	0	0	3
130	3	0	0.325	-0.253750688	-0.0323559774	-0.253750688	2.86207867e-017	0.0323559774	0	0	0	0	0	3
135	3	0	0.3375	-0.288668511	-0.0415099965	-0.288668511	2.86207867e-017	0.0415099965	0	0	0	0	0	3
140	3	0	0.35	-0.313798288	-0.0508992479	-0.313798288	2.86207867e-017	0.0508992479	0	0	0	0	0	3
145	3	0	0.3625	-0.330523305	-0.0602200498	-0.330523305	2.86207867e-017	0.0602200498	0	0	0	0	0	3
