Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	3
5	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	3
10	0	0	0.025	0	0	0	0	0	0	0	0	0	0	3
15	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	3
20	0	0	0.05	0	0	0	0	0	0	0	0	0	0	3
25	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	3
30	1	0	0.075	0	0	0	0	0	0	0	0	0	0	3
35	1	0	0.0875	0	0	0	0	0	0	0	0	0	0	3
40	1	0	0.1	0	0	0	0	0	0	0	0	0	0	3
45	1	0	0.1125	0	0	0	0	0	0	0	0	0	0	3
50	1	0	0.125	0	0	0	0	0	0	0	0	0	0	3
55	1	0	0.1375	0	0	0	0	0	0	0	0	0	0	3
60	1	0	0.15	0	0	0	0	0	0	0	0	0	0	3
65	1	0	0.1625	0	0	0	0	0	0	0	0	0	0	3
70	2	0	0.175	0	0	0	0	0	0	0	0	0	0	3
75	2	0	0.1875	0	0	0	0	0	0	0	0	0	0	3
80	2	0	0.2	0	0	0	0	0	0	0	0	0	0	3
85	2	0	0.2125	0	0	0	0	0	0	0	0	0	0	3
90	2	0	0.225	0	0	0	0	0	0	0	0	0	0	3
95	2	0	0.2375	0	0	0	0	0	0	0	0	0	0	3
100	2	0	0.25	0	0	0	0	0	0	0	0	0	0	3
105	2	0	0.2625	0	0	0	0	0	0	0	0	0	0	3
110	3	0	0.275	0	0	0	0	0	0	0	0	0	0	3
115	3	0	0.2875	0	0	0	0	0	0	0	0	0	0	3
120	3	0	0.3	0	0	0	0	0	0	0	0	0	0	3
125	3	0	0.3125	0	0	0	0	0	0	0	0	0	0	3
130	3	0	0.325	0	0	0	0	0	0	0	0	0	0	3
135	3	0	0.3375	0	0	0	0	0	0	0	0	0	0	3
140	3	0	0.35	0	0	0	0	0	0	0	0	0	0	3
145	3	0	0.3625	0	0	0	0	0	0	0	0	0	0	3
150	4	0	0.375	0	0	0	0	0	0	0	0	0	0	3
155	4	0	0.3875	0	0	0	0	0	0	0	0	0	0	3
160	4	0	0.4	0	0	0	0	0	0	0	0	0	0	3
165	4	0	0.4125	0	0	0	0	0	0	0	0	0	0	3
170	4	0	0.425	0	0	0	0	0	0	0	0	0	0	3
175	4	0	0.4375	0	0	0	0	0	0	0	0	0	0	3
180	4	0	0.45	0	0	0	0	0	0	0	0	0	0	3
185	4	0	0.4625	0	0	0	0	0	0	0	0	0	0	3
190	5	0	0.475	0	0	0	0	0	0	0	0	0	0	3
195	5	0	0.4875	0	0	0	0	0	0	0	0	0	0	3
200	5	0	0.5	0	0	0	0	0	0	0	0	0	0	3
205	5	0	0.5125	0	0	0	0	0	0	0	0	0	0	3
210	5	0	0.525	0	0	0	0	0	0	0	0	0	0	3
215	5	0	0.5375	0	0	0	0	0	0	0	0	0	0	3
220	5	0	0.55	0	0	0	0	0	0	0	0	0	0	3
225	5	0	0.5625	0	0	0	0	0	0	0	0	0	0	3
230	6	0	0.575	0	0	0	0	0	0	0	0	0	0	3
235	6	0	0.5875	0	0	0	0	0	0	0	0	0	0	3
240	6	0	0.6	0	0	0	0	0	0	0	0	0	0	3
245	6	0	0.6125	0	0	0	0	0	0	0	0	0	0	3
250	6	0	0.625	0	0	0	0	0	0	0	0	0	0	3
255	6	0	0.6375	0	0	0	0	0	0	0	0	0	0	3
260	6	0	0.65	0	0	0	0	0	0	0	0	0	0	3
265	6	0	0.6625	0	0	0	0	0	0	0	0	0	0	3
270	6	0	0.675	0	0	0	0	0	0	0	0	0	0	3
275	7	0	0.6875	0	0	0	0	0	0	0	0	0	0	3
280	7	0	0.7	0	0	0	0	0	0	0	0	0	0	3
285	7	0	0.7125	0	0	0	0	0	0	0	0	0	0	3
290	7	0	0.725	0	0	0	0	0	0	0	0	0	0	3
295	7	0	0.7375	0	0	0	0	0	0	0	0	0	0	3
300	7	0	0.75	0	0	0	0	0	0	0	0	0	0	3
305	7	0	0.7625	0	0	0	0	0	0	0	0	0	0	3
310	8	0	0.775	0	0	0	0	0	0	0	0	0	0	3
315	8	0	0.7875	0	0	0	0	0	0	0	0	0	0	3
320	8	0	0.8	0	0	0	0	0	0	0	0	0	0	3
325	8	0	0.8125	0	0	0	0	0	0	0	0	0	0	3
330	8	0	0.825	0	0	0	0	0	0	0	0	0	0	3
335	8	0	0.8375	0	0	0	0	0	0	0	0	0	0	3
340	8	0	0.85	0	0	0	0	0	0	0	0	0	0	3
345	8	0	0.8625	0	0	0	0	0	0	0	0	0	0	3
350	8	0	0.875	0	0	0	0	0	0	0	0	0	0	3
355	9	0	0.8875	0	0	0	0	0	0	0	0	0	0	3
360	9	0	0.9	0	0	0	0	0	0	0	0	0	0	3
365	9	0	0.9125	0	0	0	0	0	0	0	0	0	0	3
370	9	0	0.925	0	0	0	0	0	0	0	0	0	0	3
375	9	0	0.9375	0	0	0	0	0	0	0	0	0	0	3
380	9	0	0.95	0	0	0	0	0	0	0	0	0	0	3
385	9	0	0.9625	0	0	0	0	0	0	0	0	0	0	3
390	9	0	0.975	0	0	0	0	0	0	0	0	0	0	3
395	10	0	0.9875	0	0	0	0	0	0	0	0	0	0	3
400	10	0	1	0	0	0	0	0	5e-006	0	0	0	0	3
405	10	0	1.0125	0	0	0	0	0	5e-006	0	0	0	0	3
410	10	0	1.025	0	0	0	0	0	5e-006	0	0	0	0	3
415	10	0	1.0375	0	0	0	0	0	5e-006	0	0	0	0	3
420	10	0	1.05	0	0	0	0	0	5e-006	0	0	0	0	3
425	10	0	1.0625	0	0	0	0	0	5e-006	0	0	0	0	3
430	10	0	1.075	0	0	0	0	0	5e-006	0	0	0	0	3
435	11	0	1.0875	0	0	0	0	0	5e-006	0	0	0	0	3
440	11	0	1.1	0	0	0	0	0	5e-006	0	0	0	0	3
445	11	0	1.1125	0	0	0	0	0	5e-006	0	0	0	0	3
450	11	0	1.125	0	0	0	0	0	5e-006	0	0	0	0	3
455	11	0	1.1375	0	0	0	0	0	5e-006	0	0	0	0	3
