Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	0.0295570623	0.0295570623	0.0295570623	0.0295570623	0	0	0	0.03	0	0	3
5	0	0	0.0125	0.0283619671	0.0289595147	0.0283619671	0.0295570623	0.000597547648	0	0	0.0300015	0	0	3
10	0	0	0.025	0.0273120979	0.0284103758	0.0273120979	0.0295570623	0.00114668658	0	0	0.0300016	0	0	3
15	0	0	0.0375	0.026441924	0.0279182628	0.026441924	0.0295570623	0.00163879953	0	0	0.0300388	0	0	3
20	0	0	0.05	0.0256806899	0.0274707482	0.0256806899	0.0295570623	0.00208631412	0	0	0.0301037	0	0	3
25	0	0	0.0625	0.025020754	0.0270624159	0.025020754	0.0295570623	0.0024946465	0	0	0.0301509	0	0	3
30	1	0	0.075	0.0244469008	0.0266887708	0.0244469008	0.0295570623	0.00286829151	0	0	0.0301708	0	0	3
35	1	0	0.0875	0.0239440031	0.0263456749	0.0239440031	0.0295570623	0.00321138747	0	0	0.0302348	0	0	3
40	1	0	0.1	0.0235021772	0.0260297307	0.0235021772	0.0295570623	0.00352733166	0	0	0.0302945	0	0	3
45	1	0	0.1125	0.0231127934	0.025738037	0.0231127934	0.0295570623	0.00381902538	0	0	0.0302689	0	0	3
50	1	0	0.125	0.0227554727	0.0254668948	0.0227554727	0.0295570623	0.00409016759	0	0	0.0302424	0	0	3
55	1	0	0.1375	0.0224201521	0.0252129995	0.0224201521	0.0295570623	0.00434406282	0	0	0.0303108	0	0	3
60	1	0	0.15	0.0220984296	0.0249734172	0.0220984296	0.0295570623	0.00458364512	0	0	0.0303494	0	0	3
65	1	0	0.1625	0.0217903544	0.0247460556	0.0217903544	0.0295570623	0.00481100675	0	0	0.0303538	0	0	3
70	2	0	0.175	0.0214921675	0.0245291297	0.0214921675	0.0295570623	0.00502793262	0	0	0.0303226	0	0	3
75	2	0	0.1875	0.0212051137	0.0243213787	0.0212051137	0.0295570623	0.00523568363	0	0	0.0302583	0	0	3
80	2	0	0.2	0.0209299687	0.024121884	0.0209299687	0.0295570623	0.00543517834	0	0	0.0301944	0	0	3
85	2	0	0.2125	0.0206662732	0.0239299056	0.0206662732	0.0295570623	0.00562715671	0	0	0.0301415	0	0	3
90	2	0	0.225	0.0204114111	0.0237447217	0.0204114111	0.0295570623	0.00581234063	0	0	0.030113	0	0	3
95	2	0	0.2375	0.0201611427	0.0235655428	0.0201611427	0.0295570623	0.00599151958	0	0	0.0301189	0	0	3
100	2	0	0.25	0.0199112056	0.0233915267	0.0199112056	0.0295570623	0.00616553564	0	0	0.0301423	0	0	3
105	2	0	0.2625	0.0196582776	0.0232218336	0.0196582776	0.0295570623	0.00633522878	0	0	0.0301724	0	0	3
110	3	0	0.275	0.0193999575	0.023055665	0.0193999575	0.0295570623	0.00650139731	0	0	0.0302077	0	0	3
115	3	0	0.2875	0.0191343683	0.0228922777	0.0191343683	0.0295570623	0.00666478467	0	0	0.0302469	0	0	3
120	3	0	0.3	0.0188601226	0.0227309915	0.0188601226	0.0295570623	0.00682607087	0	0	0.0302893	0	0	3
125	3	0	0.3125	0.0185752384	0.0225711548	0.0185752384	0.0295570623	0.00698590753	0	0	0.0303338	0	0	3
130	3	0	0.325	0.0182770654	0.0224121145	0.0182770654	0.0295570623	0.00714494788	0	0	0.0303776	0	0	3
135	3	0	0.3375	0.0179632491	0.0222532264	0.0179632491	0.0295570623	0.00730383593	0	0	0.0304125	0	0	3
140	3	0	0.35	0.0176301304	0.0220938093	0.0176301304	0.0295570623	0.00746325303	0	0	0.0304352	0	0	3
145	3	0	0.3625	0.0172737035	0.0219331391	0.0172737035	0.0295570623	0.00762392323	0	0	0.0304432	0	0	3
150	4	0	0.375	0.0168888666	0.0217704206	0.0168888666	0.0295570623	0.0077866417	0	0	0.0304324	0	0	3
155	4	0	0.3875	0.016470924	0.0216048114	0.016470924	0.0295570623	0.00795225097	0	0	0.0303977	0	0	3
160	4	0	0.4	0.0160178165	0.0214355085	0.0160178165	0.0295570623	0.00812155385	0	0	0.0303328	0	0	3
165	4	0	0.4125	0.015532652	0.0212618951	0.015532652	0.0295570623	0.00829516727	0	0	0.0302317	0	0	3
170	4	0	0.425	0.0150235958	0.021083658	0.0150235958	0.0295570623	0.00847340439	0	0	0.0300896	0	0	3
175	4	0	0.4375	0.0145023842	0.0209008448	0.0145023842	0.0295570623	0.00865621756	0	0	0.0300528	0	0	3
180	4	0	0.45	0.0139786864	0.0207137594	0.0139786864	0.0295570623	0.00884330292	0	0	0.0300754	0	0	3
185	4	0	0.4625	0.0134606992	0.0205228894	0.0134606992	0.0295570623	0.00903417292	0	0	0.030103	0	0	3
190	5	0	0.475	0.0129564303	0.0203288777	0.0129564303	0.0295570623	0.0092281847	0	0	0.0301366	0	0	3
195	5	0	0.4875	0.0124697221	0.0201323988	0.0124697221	0.0295570623	0.00942466358	0	0	0.0301775	0	0	3
200	5	0	0.5	0.0120014268	0.0199340824	0.0120014268	0.0295570623	0.00962297997	0	0	0.0302255	0	0	3
205	5	0	0.5125	0.0115506941	0.0194949027	0.0115506941	0.0283619671	0.00946461204	0	0	0.0302798	0	0	3
210	5	0	0.525	0.011115784	0.0188683182	0.011115784	0.026441924	0.00904994461	0	0	0.0303389	0	0	3
215	5	0	0.5375	0.0106960766	0.018474672	0.0106960766	0.0256806899	0.00899607621	0	0	0.0304005	0	0	3
220	5	0	0.55	0.0102925377	0.0180899682	0.0102925377	0.025020754	0.00897244763	0	0	0.0304607	0	0	3
225	5	0	0.5625	0.00990561325	0.0177120897	0.00990561325	0.0244469008	0.00897668114	0	0	0.0305071	0	0	3
230	6	0	0.575	0.00953648758	0.0175126848	0.00953648758	0.0244469008	0.00917608607	0	0	0.0305303	0	0	3
235	6	0	0.5875	0.00918699995	0.0169704043	0.00918699995	0.0235021772	0.0090593264	0	0	0.0305224	0	0	3
240	6	0	0.6	0.00885886493	0.0166043215	0.00885886493	0.0231127934	0.00913371548	0	0	0.0304825	0	0	3
245	6	0	0.6125	0.00855344468	0.0162403378	0.00855344468	0.0227554727	0.00922655699	0	0	0.0304148	0	0	3
250	6	0	0.625	0.00827033729	0.0158782094	0.00827033729	0.0224201521	0.00933479015	0	0	0.0303164	0	0	3
255	6	0	0.6375	0.00800233104	0.0156861148	0.00800233104	0.0224201521	0.00952688475	0	0	0.0302791	0	0	3
260	6	0	0.65	0.0077418765	0.01515885	0.0077418765	0.0217903544	0.00958720557	0	0	0.0302999	0	0	3
265	6	0	0.6625	0.00748593613	0.0148012396	0.00748593613	0.0214921675	0.00972789015	0	0	0.0303219	0	0	3
270	6	0	0.675	0.00723636195	0.0144448444	0.00723636195	0.0212051137	0.00987653429	0	0	0.030345	0	0	3
275	7	0	0.6875	0.00699472438	0.0140895847	0.00699472438	0.0209299687	0.0100322993	0	0	0.0303686	0	0	3
280	7	0	0.7	0.00676108036	0.0139108407	0.00676108036	0.0209299687	0.0102110433	0	0	0.0303934	0	0	3
285	7	0	0.7125	0.00652936473	0.0133819398	0.00652936473	0.0204114111	0.0103627819	0	0	0.0304206	0	0	3
290	7	0	0.725	0.00629957779	0.0130291439	0.00629957779	0.0201611427	0.0105363988	0	0	0.0304504	0	0	3
295	7	0	0.7375	0.00607297134	0.0126769397	0.00607297134	0.0199112056	0.010714587	0	0	0.0304829	0	0	3
300	7	0	0.75	0.00585153379	0.0123254479	0.00585153379	0.0196582776	0.0108963857	0	0	0.0305161	0	0	3
305	7	0	0.7625	0.00563585581	0.0121622871	0.00563585581	0.0196582776	0.0110595465	0	0	0.0305358	0	0	3
310	8	0	0.775	0.00542625696	0.0116255448	0.00542625696	0.0191343683	0.0112667329	0	0	0.0305173	0	0	3
315	8	0	0.7875	0.0052235561	0.0112777745	0.0052235561	0.0188601226	0.011453217	0	0	0.0304545	0	0	3
320	8	0	0.8	0.00502851008	0.0109319842	0.00502851008	0.0185752384	0.0116391706	0	0	0.0303477	0	0	3
325	8	0	0.8125	0.0048404524	0.0105886145	0.0048404524	0.0182770654	0.0118234999	0	0	0.0301982	0	0	3
330	8	0	0.825	0.00465937234	0.0104439989	0.00465937234	0.0182770654	0.0119681156	0	0	0.0300065	0	0	3
335	8	0	0.8375	0.00448787878	0.00991128796	0.00448787878	0.0176301304	0.0121825214	0	0	0.0299281	0	0	3
340	8	0	0.85	0.0043257516	0.00957867849	0.0043257516	0.0172737035	0.0123544606	0	0	0.0298856	0	0	3
345	8	0	0.8625	0.00417166554	0.00925112754	0.00417166554	0.0168888666	0.0125192931	0	0	0.029833	0	0	3
350	8	0	0.875	0.00402406939	0.00892950761	0.00402406939	0.016470924	0.0124468546	0	0	0.029768	0	0	3
