Iteration	CPUTime	PhysTime	Travels	CourFact
1	0	0	0.0025	0
5	0	0	0.0125	0
10	0	0	0.025	0
15	0	0	0.0375	0
20	0	0	0.05	0
25	0	0	0.0625	0
30	1	0	0.075	0
35	1	0	0.0875	0
40	1	0	0.1	0
45	1	0	0.1125	0
50	1	0	0.125	0
55	1	0	0.1375	0
60	1	0	0.15	0
65	1	0	0.1625	0
70	2	0	0.175	0
75	2	0	0.1875	0
80	2	0	0.2	0
85	2	0	0.2125	0
90	2	0	0.225	0
95	2	0	0.2375	0
100	2	0	0.25	0
105	2	0	0.2625	0
110	3	0	0.275	0
115	3	0	0.2875	0
120	3	0	0.3	0
125	3	0	0.3125	0
130	3	0	0.325	0
135	3	0	0.3375	0
140	3	0	0.35	0
145	3	0	0.3625	0
150	4	0	0.375	0
155	4	0	0.3875	0
160	4	0	0.4	0
165	4	0	0.4125	0
170	4	0	0.425	0
175	4	0	0.4375	0
180	4	0	0.45	0
185	4	0	0.4625	0
190	5	0	0.475	0
195	5	0	0.4875	0
200	5	0	0.5	0
205	5	0	0.5125	0
210	5	0	0.525	0
215	5	0	0.5375	0
220	5	0	0.55	0
225	5	0	0.5625	0
230	6	0	0.575	0
235	6	0	0.5875	0
240	6	0	0.6	0
245	6	0	0.6125	0
250	6	0	0.625	0
255	6	0	0.6375	0
260	6	0	0.65	0
265	6	0	0.6625	0
270	6	0	0.675	0
275	7	0	0.6875	0
280	7	0	0.7	0
285	7	0	0.7125	0
290	7	0	0.725	0
295	7	0	0.7375	0
300	7	0	0.75	0
305	7	0	0.7625	0
310	8	0	0.775	0
315	8	0	0.7875	0
320	8	0	0.8	0
325	8	0	0.8125	0
330	8	0	0.825	0
335	8	0	0.8375	0
340	8	0	0.85	0
345	8	0	0.8625	0
350	8	0	0.875	0
355	9	0	0.8875	0
360	9	0	0.9	0
365	9	0	0.9125	0
370	9	0	0.925	0
375	9	0	0.9375	0
380	9	0	0.95	0
385	9	0	0.9625	0
390	9	0	0.975	0
395	10	0	0.9875	0
400	10	0	1	0
405	10	0	1.0125	0
410	10	0	1.025	0
415	10	0	1.0375	0
420	10	0	1.05	0
425	10	0	1.0625	0
430	10	0	1.075	0
435	11	0	1.0875	0
440	11	0	1.1	0
445	11	0	1.1125	0
450	11	0	1.125	0
455	11	0	1.1375	0
460	11	0	1.15	0
465	11	0	1.1625	0
470	11	0	1.175	0
475	11	0	1.1875	0
480	12	0	1.2	0
485	12	0	1.2125	0
490	12	0	1.225	0
495	12	0	1.2375	0
500	12	0	1.25	0
505	12	0	1.2625	0
510	12	0	1.275	0
515	12	0	1.2875	0
520	13	0	1.3	0
525	13	0	1.3125	0
530	13	0	1.325	0
535	13	0	1.3375	0
540	13	0	1.35	0
545	13	0	1.3625	0
550	13	0	1.375	0
555	13	0	1.3875	0
560	13	0	1.4	0
565	14	0	1.4125	0
570	14	0	1.425	0
575	14	0	1.4375	0
580	14	0	1.45	0
585	14	0	1.4625	0
590	14	0	1.475	0
595	14	0	1.4875	0
600	14	0	1.5	0
605	15	0	1.5125	0
610	15	0	1.525	0
615	15	0	1.5375	0
620	15	0	1.55	0
625	15	0	1.5625	0
630	15	0	1.575	0
635	15	0	1.5875	0
640	15	0	1.6	0
645	16	0	1.6125	0
650	16	0	1.625	0
655	16	0	1.6375	0
660	16	0	1.65	0
665	16	0	1.6625	0
670	16	0	1.675	0
675	16	0	1.6875	0
680	16	0	1.7	0
685	17	0	1.7125	0
690	17	0	1.725	0
695	17	0	1.7375	0
700	17	0	1.75	0
705	17	0	1.7625	0
710	17	0	1.775	0
715	17	0	1.7875	0
720	18	0	1.8	0
725	18	0	1.8125	0
730	18	0	1.825	0
735	18	0	1.8375	0
740	18	0	1.85	0
745	18	0	1.8625	0
750	18	0	1.875	0
755	18	0	1.8875	0
760	18	0	1.9	0
765	19	0	1.9125	0
770	19	0	1.925	0
775	19	0	1.9375	0
780	19	0	1.95	0
785	19	0	1.9625	0
790	19	0	1.975	0
795	19	0	1.9875	0
800	19	0	2	0
805	19	0	2.0125	0
810	20	0	2.025	0
815	20	0	2.0375	0
820	20	0	2.05	0
825	20	0	2.0625	0
830	20	0	2.075	0
835	20	0	2.0875	0
840	20	0	2.1	0
845	20	0	2.1125	0
850	21	0	2.125	0
855	21	0	2.1375	0
860	21	0	2.15	0
865	21	0	2.1625	0
870	21	0	2.175	0
875	21	0	2.1875	0
880	21	0	2.2	0
885	21	0	2.2125	0
890	21	0	2.225	0
895	22	0	2.2375	0
900	22	0	2.25	0
905	22	0	2.2625	0
910	22	0	2.275	0
915	22	0	2.2875	0
920	22	0	2.3	0
925	22	0	2.3125	0
930	22	0	2.325	0
935	22	0	2.3375	0
940	23	0	2.35	0
945	23	0	2.3625	0
950	23	0	2.375	0
955	23	0	2.3875	0
960	23	0	2.4	0
965	23	0	2.4125	0
970	23	0	2.425	0
975	23	0	2.4375	0
980	23	0	2.45	0
985	24	0	2.4625	0
990	24	0	2.475	0
995	24	0	2.4875	0
1000	24	0	2.5	0
1005	24	0	2.5125	0
1010	24	0	2.525	0
1015	24	0	2.5375	0
1020	24	0	2.55	0
1025	25	0	2.5625	0
1030	25	0	2.575	0
1035	25	0	2.5875	0
1040	25	0	2.6	0
1045	25	0	2.6125	0
1050	25	0	2.625	0
1055	25	0	2.6375	0
1060	25	0	2.65	0
1065	25	0	2.6625	0
1070	26	0	2.675	0
1075	26	0	2.6875	0
1080	26	0	2.7	0
1085	26	0	2.7125	0
1090	26	0	2.725	0
1095	26	0	2.7375	0
1100	26	0	2.75	0
1105	26	0	2.7625	0
1110	27	0	2.775	0
1115	27	0	2.7875	0
1120	27	0	2.8	0
1125	27	0	2.8125	0
1130	27	0	2.825	0
1135	27	0	2.8375	0
1140	27	0	2.85	0
1145	27	0	2.8625	0
1150	27	0	2.875	0
1155	28	0	2.8875	0
1160	28	0	2.9	0
1165	28	0	2.9125	0
1170	28	0	2.925	0
1175	28	0	2.9375	0
1180	28	0	2.95	0
1185	28	0	2.9625	0
1190	28	0	2.975	0
1195	28	0	2.9875	0
1200	29	0	3	0
1205	29	0	3.0125	0
1210	29	0	3.025	0
1215	29	0	3.0375	0
1220	29	0	3.05	0
1225	29	0	3.0625	0
1230	29	0	3.075	0
1235	29	0	3.0875	0
1240	29	0	3.1	0
1245	30	0	3.1125	0
1250	30	0	3.125	0
1255	30	0	3.1375	0
1260	30	0	3.15	0
1265	30	0	3.1625	0
1270	30	0	3.175	0
1275	30	0	3.1875	0
1280	30	0	3.2	0
1285	31	0	3.2125	0
1290	31	0	3.225	0
1295	31	0	3.2375	0
1300	31	0	3.25	0
1305	31	0	3.2625	0
1310	31	0	3.275	0
1315	31	0	3.2875	0
1320	31	0	3.3	0
1325	31	0	3.3125	0
1330	32	0	3.325	0
1335	32	0	3.3375	0
1340	32	0	3.35	0
