Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	101325	101325	101325	101325	0	0	0	46902.6	0	0	3
5	0	0	0.0125	101325	101325	101325	101325	1.45519152e-011	0	0	80889.2	0	0	3
10	0	0	0.025	101325	101325	101325	101325	1.45519152e-011	0	0	103697	0	0	3
15	0	0	0.0375	101325	101325	101325	101325	2.91038305e-011	0	0	118019	0	0	3
20	0	0	0.05	101325	101325	101325	101325	7.27595761e-011	0	0	129964	0	0	3
25	0	0	0.0625	101325	101325	101325	101325	1.30967237e-010	0	0	144231	0	0	3
30	1	0	0.075	104989.978	101848.568	101325	104989.978	523.568284	0	0	155889	0	0	3
35	1	0	0.0875	101635.005	101821.873	101325	104989.978	523.568284	0	0	164763	0	0	3
40	1	0	0.1	101329.89	101767.208	101325	104989.978	523.568284	0	0	173487	0	0	3
45	1	0	0.1125	101325	101722.987	101325	104989.978	523.568284	0	0	180994	0	0	3
50	1	0	0.125	101596.359	101711.476	101325	104989.978	523.568284	0	0	187734	0	0	3
55	1	0	0.1375	101363.976	101682.517	101325	104989.978	523.568284	0	0	194171	0	0	3
60	1	0	0.15	101363.976	101658.014	101325	104989.978	523.568284	0	0	200719	0	0	3
65	1	0	0.1625	101325	101634.227	101325	104989.978	523.568284	0	0	207533	0	0	3
70	2	0	0.175	101325.002	101613.612	101325	104989.978	523.568284	0	0	214814	0	0	3
75	2	0	0.1875	101325.02	101595.575	101325	104989.978	523.568284	0	0	222680	0	0	3
80	2	0	0.2	101325.178	101579.67	101325	104989.978	523.568284	0	0	231085	0	0	3
85	2	0	0.2125	101326.261	101565.591	101325	104989.978	523.568284	0	0	239998	0	0	3
90	2	0	0.225	101332.27	101553.311	101325	104989.978	523.568284	0	0	249391	0	0	3
95	2	0	0.2375	101359.36	101543.614	101325	104989.978	523.568284	0	0	258967	0	0	3
100	2	0	0.25	101464.6	101539.851	101325	104989.978	523.568284	0	0	268514	0	0	3
105	2	0	0.2625	101788.928	101551.173	101325	104989.978	523.568284	0	0	277782	0	0	3
110	3	0	0.275	102602.879	101596.899	101325	104989.978	523.568284	0	0	286613	0	0	3
115	3	0	0.2875	104302.1	101709.616	101325	104989.978	523.568284	0	0	295054	0	0	3
120	3	0	0.3	107235.777	101930.662	101325	107235.777	605.662379	0	0	303293	0	0	3
125	3	0	0.3125	111288.833	102290.592	101325	111288.833	965.592002	0	0	311417	0	0	3
130	3	0	0.325	115868.1	102793.463	101325	115868.1	1468.46266	0	0	319867	0	0	3
135	3	0	0.3375	120362.823	103420.94	101325	120362.823	2095.93982	0	0	328291	0	0	3
140	3	0	0.35	124376.072	104143.531	101325	124376.072	2818.5306	0	0	336512	0	0	3
145	3	0	0.3625	127737.844	104930.008	101325	127737.844	3605.00772	0	0	344514	0	0	3
150	4	0	0.375	130334.853	105749.519	101325	130334.853	4424.51886	0	0	352337	0	0	3
155	4	0	0.3875	132202.401	106576.171	101325	132202.401	5251.17144	0	0	359959	0	0	3
160	4	0	0.4	133582.357	107394.541	101325	133582.357	6069.54071	0	0	367237	0	0	3
