Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	0.65671	0.65671	0.65671	0.65671	0	0	0	0	0	0	3
5	0	0	0.0125	0.65671	0.65671	0.65671	0.65671	0	0	0	0	0	0	3
10	0	0	0.025	0.65671	0.65671	0.65671	0.65671	0	0	0	0	0	0	3
15	0	0	0.0375	0.65671	0.65671	0.65671	0.65671	0	0	0	0	0	0	3
20	0	0	0.05	0.65671	0.65671	0.65671	0.65671	0	0	0	0	0	0	3
25	0	0	0.0625	0.65671	0.65671	0.65671	0.65671	2.22044605e-016	0	0	0	0	0	3
30	1	0	0.075	0.65671	0.65671	0.65671	0.65671	6.36157793e-014	0	0	0	0	0	3
35	1	0	0.0875	0.65671	0.65671	0.65671	0.65671	3.0495606e-012	0	0	0	0	0	3
40	1	0	0.1	0.656709999	0.65671	0.656709999	0.65671	6.4211636e-011	0	0	0	0	0	3
45	1	0	0.1125	0.656709993	0.656709999	0.656709993	0.65671	8.03132005e-010	0	0	0	0	0	3
50	1	0	0.125	0.656709931	0.656709993	0.656709931	0.65671	6.96233837e-009	0	0	0	0	0	3
55	1	0	0.1375	0.656709516	0.656709953	0.656709516	0.65671	4.67438835e-008	0	0	0	0	0	3
60	1	0	0.15	0.656707267	0.656709747	0.656707267	0.65671	2.53370879e-007	0	0	0	0	0	3
65	1	0	0.1625	0.65669709	0.656708843	0.65669709	0.65671	1.15743369e-006	0	0	0	0	0	3
70	2	0	0.175	0.656657601	0.656705426	0.656657601	0.65671	4.5735689e-006	0	0	0	0	0	3
75	2	0	0.1875	0.656524468	0.656694117	0.656524468	0.65671	1.58834452e-005	0	0	0	0	0	3
80	2	0	0.2	0.656129696	0.656660915	0.656129696	0.65671	4.90846775e-005	0	0	0	0	0	3
85	2	0	0.2125	0.655087688	0.656573514	0.655087688	0.65671	0.0001364862	0	0	0	0	0	3
90	2	0	0.225	0.652612568	0.656365043	0.652612568	0.65671	0.000344957058	0	0	0	0	0	3
95	2	0	0.2375	0.647319702	0.655912776	0.647319702	0.65671	0.000797224109	0	0	0	0	0	3
100	2	0	0.25	0.636675801	0.654996729	0.636675801	0.65671	0.00171327055	0	0	0	0	0	3
105	2	0	0.2625	0.617677355	0.653300394	0.617677355	0.65671	0.00340960577	0	0	0	0	0	3
110	3	0	0.275	0.588420121	0.650479513	0.588420121	0.65671	0.00623048721	0	0	0	0	0	3
115	3	0	0.2875	0.547901834	0.646205443	0.547901834	0.65671	0.0105045572	0	0	0	0	0	3
