Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	103104.04	103104.04	103104.04	103104.04	0	0	0	21959.9	0	0	3
5	0	0	0.0125	109124.873	106114.456	103104.04	109124.873	3010.41676	0	0	56306.6	0	0	3
10	0	0	0.025	115385.916	109204.943	103104.04	115385.916	6100.90317	0	0	79277.4	0	0	3
15	0	0	0.0375	120939.528	112138.589	103104.04	120939.528	9034.54956	0	0	93681.3	0	0	3
20	0	0	0.05	126194.7	114949.811	103104.04	126194.7	11845.7716	0	0	109594	0	0	3
25	0	0	0.0625	131407.113	117692.695	103104.04	131407.113	14588.6552	0	0	127454	0	0	3
30	1	0	0.075	136641.286	120399.636	103104.04	136641.286	17295.5968	0	0	139108	0	0	3
35	1	0	0.0875	141868.691	123083.268	103104.04	141868.691	19979.2286	0	0	146600	0	0	3
40	1	0	0.1	147055.53	125746.853	103104.04	147055.53	22642.8132	0	0	151994	0	0	3
45	1	0	0.1125	152179.587	128390.126	103104.04	152179.587	25286.0866	0	0	158602	0	0	3
50	1	0	0.125	157232.702	131012.179	103104.04	157232.702	27908.1389	0	0	164470	0	0	3
55	1	0	0.1375	162217.53	133612.625	103104.04	162217.53	30508.5849	0	0	175091	0	0	3
60	1	0	0.15	167137.546	136191.465	103104.04	167137.546	33087.425	0	0	184330	0	0	3
65	1	0	0.1625	171977.521	138747.612	103104.04	171977.521	35643.5719	0	0	185548	0	0	3
70	2	0	0.175	176724.768	141279.422	103104.04	176724.768	38175.3823	0	0	190818	0	0	3
75	2	0	0.1875	181451.527	143790.178	103104.04	181451.527	40686.1388	0	0	198702	0	0	3
80	2	0	0.2	186254.553	146288.083	103104.04	186254.553	43184.0432	0	0	207125	0	0	3
85	2	0	0.2125	191211.712	148783.84	103104.04	191211.712	45679.8003	0	0	216056	0	0	3
90	2	0	0.225	196274.053	151283.325	103104.04	196274.053	48179.2852	0	0	225467	0	0	3
95	2	0	0.2375	201306.644	153784.491	103104.04	201306.644	50680.4512	0	0	235060	0	0	3
100	2	0	0.25	206173.155	156279.189	103104.04	206173.155	53175.1494	0	0	244623	0	0	3
105	2	0	0.2625	210787.88	158756.857	103104.04	210787.88	55652.8172	0	0	253906	0	0	3
