Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	294.665049	294.665049	294.665049	294.665049	0	0	0	63.5443	0	0	3
5	0	0	0.0125	298.35988	296.512464	294.665049	298.35988	1.84741582	0	0	162.932	0	0	3
10	0	0	0.025	301.178596	298.067842	294.665049	301.178596	3.40279309	0	0	229.402	0	0	3
15	0	0	0.0375	303.208681	299.353052	294.665049	303.208681	4.68800291	0	0	271.082	0	0	3
20	0	0	0.05	304.890842	300.46061	294.665049	304.890842	5.79556103	0	0	305.822	0	0	3
25	0	0	0.0625	306.451818	301.459144	294.665049	306.451818	6.79409578	0	0	347.286	0	0	3
30	1	0	0.075	307.936337	302.384458	294.665049	307.936337	7.71940904	0	0	381.15	0	0	3
35	1	0	0.0875	309.331145	303.252794	294.665049	309.331145	8.58774498	0	0	406.92	0	0	3
40	1	0	0.1	310.613506	304.070651	294.665049	310.613506	9.40560195	0	0	432.249	0	0	3
45	1	0	0.1125	311.72858	304.836444	294.665049	311.72858	10.1713949	0	0	454.038	0	0	3
50	1	0	0.125	312.734911	305.554486	294.665049	312.734911	10.8894374	0	0	473.599	0	0	3
55	1	0	0.1375	313.663809	306.230263	294.665049	313.663809	11.5652143	0	0	492.278	0	0	3
60	1	0	0.15	314.568108	306.871636	294.665049	314.568108	12.206587	0	0	511.28	0	0	3
65	1	0	0.1625	315.43703	307.48345	294.665049	315.43703	12.8184009	0	0	531.061	0	0	3
70	2	0	0.175	316.288644	308.070463	294.665049	316.288644	13.4054139	0	0	552.231	0	0	3
75	2	0	0.1875	317.17833	308.639704	294.665049	317.17833	13.9746556	0	0	575.193	0	0	3
80	2	0	0.2	318.169192	309.200262	294.665049	318.169192	14.5352137	0	0	599.949	0	0	3
85	2	0	0.2125	319.296904	309.761187	294.665049	319.296904	15.0961382	0	0	626.653	0	0	3
90	2	0	0.225	320.506083	310.326708	294.665049	320.506083	15.6616591	0	0	655.583	0	0	3
95	2	0	0.2375	321.696788	310.895212	294.665049	321.696788	16.2301631	0	0	686.227	0	0	3
100	2	0	0.25	322.7899	311.461626	294.665049	322.7899	16.7965769	0	0	720.291	0	0	3
105	2	0	0.2625	323.712154	312.018468	294.665049	323.712154	17.3534191	0	0	755.186	0	0	3
110	3	0	0.275	324.366657	312.555346	294.665049	324.366657	17.8902969	0	0	787.117	0	0	3
115	3	0	0.2875	324.654357	313.059471	294.665049	324.654357	18.3944224	0	0	815.332	0	0	3
120	3	0	0.3	324.492819	313.516805	294.665049	324.654357	18.8517563	0	0	840.592	0	0	3
125	3	0	0.3125	323.859751	313.914611	294.665049	324.654357	19.2495619	0	0	864.339	0	0	3
130	3	0	0.325	322.807688	314.243984	294.665049	324.654357	19.5789352	0	0	887.749	0	0	3
135	3	0	0.3375	321.420335	314.500282	294.665049	324.654357	19.8352334	0	0	910.302	0	0	3
140	3	0	0.35	319.778044	314.682274	294.665049	324.654357	20.0172252	0	0	934.39	0	0	3
145	3	0	0.3625	317.946891	314.791094	294.665049	324.654357	20.1260458	0	0	955.384	0	0	3
150	4	0	0.375	315.978131	314.829386	294.665049	324.654357	20.1643373	0	0	973.794	0	0	3
155	4	0	0.3875	313.912246	314.800725	294.665049	324.654357	20.1643373	0	0	999.209	0	0	3
160	4	0	0.4	311.763856	314.708699	294.665049	324.654357	20.1643373	0	0	1026.12	0	0	3
165	4	0	0.4125	309.53937	314.55666	294.665049	324.654357	20.1643373	0	0	1053.19	0	0	3
170	4	0	0.425	307.27121	314.348504	294.665049	324.654357	20.1643373	0	0	1079.19	0	0	3
175	4	0	0.4375	304.994754	314.088678	294.665049	324.654357	20.1643373	0	0	1103.57	0	0	3
180	4	0	0.45	302.740615	313.781973	294.665049	324.654357	20.1643373	0	0	1126.65	0	0	3
185	4	0	0.4625	300.52189	313.433024	294.665049	324.654357	20.1643373	0	0	1150.15	0	0	3
190	5	0	0.475	298.327635	313.045706	294.665049	324.654357	20.1643373	0	0	1174.35	0	0	3
195	5	0	0.4875	296.158601	312.623529	294.665049	324.654357	20.1643373	0	0	1197.7	0	0	3
200	5	0	0.5	294.021562	312.169822	294.021562	324.654357	20.1643373	0	0	1221.49	0	0	3
205	5	0	0.5125	291.917536	312.10281	291.917536	324.654357	18.3169214	0	0	1243.68	0	0	3
210	5	0	0.525	289.862084	312.16347	289.862084	324.654357	15.4763344	0	0	1264.73	0	0	3
215	5	0	0.5375	287.851778	311.779547	287.851778	324.654357	14.3687762	0	0	1287.58	0	0	3
220	5	0	0.55	285.904934	311.3049	285.904934	324.654357	13.3702415	0	0	1308.5	0	0	3
225	5	0	0.5625	284.036146	310.744508	284.036146	324.654357	12.4449282	0	0	1328	0	0	3
230	6	0	0.575	282.243076	310.049351	282.243076	324.654357	12.4449282	0	0	1346.48	0	0	3
235	6	0	0.5875	280.491397	309.381183	280.491397	324.654357	10.7587353	0	0	1364.58	0	0	3
240	6	0	0.6	278.770166	308.585099	278.770166	324.654357	9.99294233	0	0	1383.97	0	0	3
245	6	0	0.6125	277.112909	307.719707	277.112909	324.654357	9.27489987	0	0	1403.23	0	0	3
250	6	0	0.625	275.597648	306.791276	275.597648	324.654357	8.59912295	0	0	1421.75	0	0	3
255	6	0	0.6375	274.224403	305.996962	274.224403	324.654357	8.83242414	0	0	1439.21	0	0	3
260	6	0	0.65	272.973468	304.765425	272.973468	324.654357	10.0639613	0	0	1456.03	0	0	3
265	6	0	0.6625	271.816535	303.674912	271.816535	324.654357	11.1544737	0	0	1474.28	0	0	3
270	6	0	0.675	270.758578	302.536661	270.758578	324.654357	12.2927253	0	0	1492.33	0	0	3
275	7	0	0.6875	269.820289	301.35271	269.820289	324.654357	13.4766764	0	0	1509.52	0	0	3
280	7	0	0.7	269.026549	300.564267	269.026549	324.654357	14.2651193	0	0	1525.68	0	0	3
